Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene3030	7840316	NW_002476539.1	88291	90399	+	TTHERM_00845900	XM_001009280.3	tetratricopeptide repeat protein
gene3031	7840318	NW_002476539.1	92183	93193	-	TTHERM_00846910	XM_001009282.2	2OG-Fe(II) oxygenase family oxidoreductase, putative
gene3032	24440904	NW_002476539.1	95869	96021	+	TTHERM_000846929	XM_012795956.1	hypothetical protein
gene3033	7840319	NW_002476539.1	96214	96709	+	TTHERM_00846930	XM_001009284.2	DHHC zinc finger protein, putative
gene3034	7840320	NW_002476539.1	101760	102857	-	TTHERM_00846940	XM_001009285.3	transmembrane protein, putative
gene3035	7840321	NW_002476539.1	110183	111643	-	TTHERM_00846950	XM_001009286.2	hypothetical protein
gene3036	7840322	NW_002476539.1	111837	112210	-	TTHERM_00846960	XM_001009287.1	hypothetical protein
gene3037	7840324	NW_002476539.1	116962	121628	-	TTHERM_00846990	XM_001009290.2	X-pro dipeptidyl-peptidase, S15 family protein
gene3038	7840325	NW_002476539.1	122397	125406	+	TTHERM_00847000	XM_001009291.2	ubiquitin carboxyl-terminal hydrolase
gene3039	7840326	NW_002476539.1	127531	128220	+	TTHERM_00847010	XM_001009292.2	transmembrane protein, putative
gene3040	24440905	NW_002476539.1	128525	129217	+	TTHERM_000847019	XM_012795957.1	hypothetical protein
gene3041	7840327	NW_002476539.1	129817	133360	-	TTHERM_00847020	XM_001009293.2	hypothetical protein
gene3042	7840328	NW_002476539.1	134428	136647	+	TTHERM_00847030	XM_001009294.2	von willebrand factor type A domain protein
gene3043	24440906	NW_002476539.1	136651	137295	-	TTHERM_000847039	XM_012795958.1	transmembrane protein, putative
gene3044	7840329	NW_002476539.1	137662	139932	+	TTHERM_00847040	XM_001009295.2	von willebrand factor type A domain protein
gene3045	7840330	NW_002476539.1	140551	140835	-	TTHERM_00847050	XM_001009296.1	hypothetical protein
gene3046	7840331	NW_002476539.1	142104	144362	+	TTHERM_00847060	XM_001009297.3	von willebrand factor type A domain protein
gene3047	7840332	NW_002476539.1	144911	147561	+	TTHERM_00848060	XM_001009298.2	von willebrand factor type A domain protein
gene3048	7840333	NW_002476539.1	148420	155023	-	TTHERM_00848070	XM_001009299.3	GRAM domain protein
gene3049	7840334	NW_002476539.1	155689	156067	-	TTHERM_00848080	XM_001009300.1	hypothetical protein
gene3050	7840335	NW_002476539.1	156954	158786	-	TTHERM_00848090	XM_001009301.3	eukaryotic translation initiation factor 2 alpha subunit
gene3051	7840336	NW_002476539.1	160453	161360	-	TTHERM_00848100	XM_001009302.1	hypothetical protein
gene3052	7840337	NW_002476539.1	163564	165665	+	TTHERM_00848110	XM_001009303.2	AMP-binding enzyme family protein
gene3053	7840338	NW_002476539.1	167730	167993	-	TTHERM_00848120	XM_001009304.1	hypothetical protein
gene3054	24440907	NW_002476539.1	169028	170497	-	TTHERM_000848128	XM_012795959.1	RAP domain protein
gene3055	24440908	NW_002476539.1	171343	172712	-	TTHERM_000848129	XM_012795960.1	hypothetical protein
gene3056	7834431	NW_002476539.1	173392	178045	-	TTHERM_00848130	XM_001009305.2	Hypothetical protein
gene3057	7834438	NW_002476539.1	178934	180571	-	TTHERM_00848140	XM_001009306.2	kinase domain protein, putative
gene3058	7834439	NW_002476539.1	181337	183820	-	TTHERM_00848150	XM_001009307.2	kinase domain protein
gene3059	7834440	NW_002476539.1	184930	190502	-	TTHERM_00848160	XM_001009308.2	transmembrane protein, putative
gene3060	7834441	NW_002476539.1	192900	198302	+	TTHERM_00848170	XM_001009309.2	kinase domain protein
gene3061	7834442	NW_002476539.1	200943	206330	+	TTHERM_00848180	XM_001009310.2	kinase domain protein
gene3062	7834443	NW_002476539.1	208003	212327	+	TTHERM_00848190	XM_001009311.3	hypothetical protein
gene3063	24442020	NW_002476538.1	3	2036	-	TTHERM_001253339	XM_012795961.1	oxalate/formate antiporter protein
gene3064	7840284	NW_002476538.1	2753	4927	+	TTHERM_01253340	XM_001009434.3	tetratricopeptide repeat protein
gene3065	24442021	NW_002476538.1	4969	5781	+	TTHERM_001253343	XM_012795962.1	transmembrane protein, putative
gene3066	7840285	NW_002476538.1	5821	7062	-	TTHERM_01253350	XM_001009435.1	hypothetical protein
gene3067	7840286	NW_002476538.1	8043	9248	-	TTHERM_01253360	XM_001009436.1	hypothetical protein
gene3068	7840288	NW_002476538.1	11581	13089	-	TTHERM_01253380	XM_001009438.3	hypothetical protein
gene3069	7840290	NW_002476538.1	19595	22704	+	TTHERM_01253400	XM_001009440.1	tetratricopeptide repeat protein
gene3070	7840291	NW_002476538.1	23449	24492	+	TTHERM_01253410	XM_001009441.2	tetratricopeptide repeat protein
gene3071	7840293	NW_002476538.1	27030	37957	+	TTHERM_01253430	XM_001009443.2	adenylate/guanylate cyclase
gene3072	7840294	NW_002476538.1	41176	52455	+	TTHERM_01253450	XM_001009445.3	kinase domain protein
gene3073	24442022	NW_002476538.1	53144	53590	+	TTHERM_001253451	XM_012795963.1	transmembrane protein, putative
gene3074	24442023	NW_002476538.1	56036	56722	-	TTHERM_001253452	XM_012795964.1	transmembrane protein, putative
gene3075	24442024	NW_002476538.1	57071	57776	-	TTHERM_001253453	XM_012795965.1	transmembrane protein, putative
gene3076	24441452	NW_002476537.1	819	6408	+	TTHERM_001026159	XM_012795966.1	cyclic nucleotide-binding domain protein
gene3077	7827902	NW_002476537.1	8062	9366	+	TTHERM_01026160	XM_001030715.1	hypothetical protein
gene3078	7827904	NW_002476537.1	12450	13757	+	TTHERM_01026170	XM_001030716.1	hypothetical protein
gene3079	24441453	NW_002476537.1	14797	17051	+	TTHERM_001026177	XM_012795967.1	SLEI family protein, putative
gene3080	7827905	NW_002476537.1	18725	19069	-	TTHERM_01026200	XM_001030719.2	hypothetical protein
gene3081	7839201	NW_002476537.1	23101	24726	+	TTHERM_01026210	XM_001030720.2	hypothetical protein
gene3082	7840263	NW_002476537.1	30566	34624	-	TTHERM_01026230	XM_001030722.3	hypothetical protein
gene3083	7840264	NW_002476537.1	35891	37138	+	TTHERM_01026240	XM_001030723.2	phytanoyl-CoA dioxygenase PhyH
gene3084	24441454	NW_002476537.1	37495	40093	+	TTHERM_001026242	XM_012795968.1	hypothetical protein
gene3085	7840266	NW_002476537.1	41019	50621	-	TTHERM_01026260	XM_001030725.3	SIT4 phosphatase-associated family protein
gene3086	24441455	NW_002476537.1	50622	51026	-	TTHERM_001026261	XM_012795969.1	hypothetical protein
gene3087	7840267	NW_002476537.1	54371	55144	-	TTHERM_01026280	XM_001030727.1	hypothetical protein
gene3088	24441456	NW_002476537.1	56370	56834	-	TTHERM_001026281	XM_012795970.1	hypothetical protein
gene3089	24441457	NW_002476537.1	58230	58553	+	TTHERM_001026283	XM_012795971.1	transmembrane protein, putative
gene3090	7840269	NW_002476537.1	58601	59533	-	TTHERM_01026300	XM_001030729.1	hypothetical protein
gene3091	7840270	NW_002476537.1	61361	69025	-	TTHERM_01026310	XM_001030730.3	EF hand protein
gene3092	7840271	NW_002476537.1	70612	72213	+	TTHERM_01026320	XM_001030731.2	transmembrane protein, putative
gene3093	7840272	NW_002476537.1	73090	79601	-	TTHERM_01026330	XM_001030732.2	hypothetical protein
gene3094	7840273	NW_002476537.1	80218	85569	-	TTHERM_01026340	XM_001030733.2	H-type lectin domain protein
gene3095	24441458	NW_002476537.1	88819	89533	-	TTHERM_001026349	XM_012795972.1	hypothetical protein
gene3096	7840274	NW_002476537.1	89602	90207	-	TTHERM_01026350	XM_001030734.2	hypothetical protein
gene3097	7840275	NW_002476537.1	90933	94398	+	TTHERM_01026360	XM_001030735.2	striatin-like protein
gene3098	24441459	NW_002476537.1	95614	106755	+	TTHERM_001026361	XM_012795973.1	IQ calmodulin-binding motif protein
gene3099	24441460	NW_002476537.1	108297	110943	+	TTHERM_001026363	XM_012795974.1	transmembrane protein, putative
gene3100	24442792	NW_002476537.1	111811	114876	-	TTHERM_01026400	XM_001030739.3	hypothetical protein
gene3101	24441461	NW_002476537.1	114983	115602	+	TTHERM_001026419	XM_012795975.1	hypothetical protein
gene3102	7840279	NW_002476537.1	116402	118968	-	TTHERM_01026420	XM_001030741.3	transmembrane protein, putative
gene3103	7840278	NW_002476537.1	116539	117027	+	TTHERM_01026410	XM_001030740.1	hypothetical protein
gene3104	7840280	NW_002476537.1	121379	123397	+	TTHERM_01026430	XM_001030742.2	Serine/Threonine kinase domain protein
gene3105	7840281	NW_002476537.1	126476	127737	-	TTHERM_01026450	XM_001030744.1	NUDIX hydrolase
gene3106	7840282	NW_002476537.1	129077	131832	-	TTHERM_01026460	XM_001030745.2	translation initiation factor eIF-5A family protein
gene3107	24441441	NW_002476536.1	676	1618	+	TTHERM_001021889	XM_012795976.1	hypothetical protein
gene3108	7827892	NW_002476536.1	2888	3298	+	TTHERM_01021890	XM_001009467.2	hypothetical protein
gene3109	7827891	NW_002476536.1	4008	4871	-	TTHERM_01021900	XM_001009468.2	hypothetical protein
gene3110	24441442	NW_002476536.1	6636	11334	-	TTHERM_001021904	XM_012795977.1	hypothetical protein
gene3111	7827881	NW_002476536.1	12375	15412	+	TTHERM_01021920	XM_001009470.3	hypothetical protein
gene3112	7827882	NW_002476536.1	16485	18335	-	TTHERM_01021930	XM_001009471.2	hypothetical protein
gene3113	24441443	NW_002476536.1	20075	20355	-	TTHERM_001021932	XM_012795978.1	hypothetical protein
gene3114	24442791	NW_002476536.1	25886	31872	+	TTHERM_01021950	XM_001009473.3	kinase domain protein, putative
gene3115	7827885	NW_002476536.1	36958	41155	+	TTHERM_01021970	XM_001009475.2	transmembrane protein, putative
gene3116	24441444	NW_002476536.1	41777	47477	-	TTHERM_001021971	XM_012795979.1	kinase domain protein
gene3117	7827886	NW_002476536.1	48451	49873	+	TTHERM_01021990	XM_001009477.3	transmembrane protein, putative
gene3118	7827887	NW_002476536.1	51776	58105	+	TTHERM_01023000	XM_001009479.2	transmembrane protein, putative
gene3119	7827888	NW_002476536.1	59098	59961	-	TTHERM_01023010	XM_001009480.2	hypothetical protein
gene3120	24441445	NW_002476536.1	60474	64814	+	TTHERM_001023012	XM_012795980.1	transmembrane protein, putative
gene3121	24441446	NW_002476536.1	68040	72297	+	TTHERM_001023015	XM_012795981.1	transmembrane protein, putative
gene3122	7827890	NW_002476536.1	74036	75066	+	TTHERM_01023050	XM_001009484.1	transmembrane protein, putative
gene3123	7827893	NW_002476536.1	76013	79895	+	TTHERM_01023060	XM_001009485.2	transmembrane protein, putative
gene3124	24441447	NW_002476536.1	80626	87407	-	TTHERM_001023061	XM_012795982.1	cyclic nucleotide-binding domain protein
gene3125	24441448	NW_002476536.1	87464	87847	+	TTHERM_001023063	XM_012795983.1	hypothetical protein
gene3126	24441449	NW_002476536.1	89798	96552	+	TTHERM_001023065	XM_012795984.1	hypothetical protein
gene3127	7827895	NW_002476536.1	99666	101375	-	TTHERM_01023090	XM_001009488.3	hypothetical protein
gene3128	7827896	NW_002476536.1	103256	103691	+	TTHERM_01023100	XM_001009489.2	hypothetical protein
gene3129	24441450	NW_002476536.1	104483	111639	-	TTHERM_001023110	XM_012795985.1	kinase domain protein
gene3130	7827898	NW_002476536.1	114638	119267	+	TTHERM_01024110	XM_001009491.2	transmembrane protein, putative
gene3131	7827900	NW_002476536.1	122224	126594	+	TTHERM_01025120	XM_001009493.3	PAS domain S-box protein
gene3132	24441451	NW_002476536.1	128767	132684	+	TTHERM_001025120	XM_012795986.1	hypothetical protein
gene3133	7827879	NW_002476535.1	1638	4262	+	TTHERM_00375190	XM_001009647.1	hypothetical protein
gene3134	7838496	NW_002476535.1	6610	12699	+	TTHERM_00375180	XM_001009646.3	hypothetical protein
gene3135	7838493	NW_002476535.1	13676	15308	+	TTHERM_00375170	XM_001009645.1	ankyrin domain protein
gene3136	7838495	NW_002476535.1	16336	19002	-	TTHERM_00375160	XM_001009644.4	transmembrane protein, putative
gene3137	7838494	NW_002476535.1	19655	20761	-	TTHERM_00375150	XM_001009643.3	hypothetical protein
gene3138	7838497	NW_002476535.1	22560	24098	+	TTHERM_00375140	XM_001009642.2	hypothetical protein
gene3139	7838498	NW_002476535.1	24849	26357	-	TTHERM_00375130	XM_001009641.3	methylisocitrate lyase
gene3140	7838499	NW_002476535.1	26999	27657	+	TTHERM_00375120	XM_001009640.3	transporter particle (TRAPP) protein
gene3141	7838500	NW_002476535.1	30430	35691	+	TTHERM_00375110	XM_001009639.2	cyclic nucleotide-binding domain protein
gene3142	7838501	NW_002476535.1	36421	38243	-	TTHERM_00375098	XM_001470679.1	Sas10/Utp3/C1D family protein
gene3143	7838502	NW_002476535.1	38721	40691	-	TTHERM_00375100	XM_001009638.3	Ibr domain protein
gene3144	7838503	NW_002476535.1	42583	46877	+	TTHERM_00375090	XM_001009637.3	hypothetical protein
gene3145	7838505	NW_002476535.1	48588	53625	-	TTHERM_00375070	XM_001009635.2	hypothetical protein
gene3146	24438651	NW_002476535.1	54251	57793	-	TTHERM_000375059	XM_012795987.1	hypothetical protein
gene3147	7838506	NW_002476535.1	59530	60777	+	TTHERM_00375060	XM_001009634.3	hypothetical protein
gene3148	7838507	NW_002476535.1	63907	65239	+	TTHERM_00375050	XM_001009633.2	transmembrane protein, putative
gene3149	24438650	NW_002476535.1	65322	65731	-	TTHERM_000375029	XM_012795988.1	hypothetical protein
gene3150	7838508	NW_002476535.1	68786	69838	+	TTHERM_00375030	XM_001009631.1	papain family cysteine protease
gene3151	7838509	NW_002476535.1	70950	75612	-	TTHERM_00375020	XM_001009630.2	hypothetical protein
gene3152	7838510	NW_002476535.1	78374	80850	+	TTHERM_00375010	XM_001009629.3	AMP-binding enzyme family protein
gene3153	7838511	NW_002476535.1	81812	83560	+	TTHERM_00375000	XM_001009628.3	divergent AAA domain protein
gene3154	24438649	NW_002476535.1	84236	84963	+	TTHERM_000374979	XM_012795989.1	START domain protein
gene3155	7838513	NW_002476535.1	88277	91075	+	TTHERM_00374980	XM_001009626.1	hypothetical protein
gene3156	7838514	NW_002476535.1	92607	95046	+	TTHERM_00374970	XM_001009625.3	AMP-binding enzyme family protein
gene3157	7844852	NW_002476535.1	96133	97068	+	TTHERM_00374960	XM_001009624.1	solute carrier family protein
gene3158	7845090	NW_002476535.1	98347	98646	+	TTHERM_00374950	XM_001009623.3	hypothetical protein
gene3159	7845091	NW_002476535.1	99216	100432	-	TTHERM_00374939	XM_001470681.2	zinc-binding dehydrogenase family oxidoreductase
gene3160	7845092	NW_002476535.1	101163	104404	-	TTHERM_00374940	XM_001009622.3	zinc-binding dehydrogenase family oxidoreductase
gene3161	7845093	NW_002476535.1	105548	106672	-	TTHERM_00374930	XM_001009621.1	alpha/beta hydrolase family protein
gene3162	7845095	NW_002476535.1	108604	112129	+	TTHERM_00374900	XM_001009619.2	long-chain-fatty-acid-CoA ligase family protein
gene3163	7845096	NW_002476535.1	113028	114185	-	TTHERM_00374890	XM_001009618.2	hypothetical protein
gene3164	7845097	NW_002476535.1	115607	116419	-	TTHERM_00374880	XM_001009617.3	carbonic anhydrase
gene3165	7845098	NW_002476535.1	118026	118892	-	TTHERM_00374870	XM_001009616.3	carbonic anhydrase
gene3166	7845100	NW_002476535.1	123262	125503	+	TTHERM_00373850	XM_001009613.2	AMP-binding enzyme family protein
gene3167	7845101	NW_002476535.1	126300	127052	-	TTHERM_00373840	XM_001009612.3	carbonic anhydrase
gene3168	7845102	NW_002476535.1	129089	131003	+	TTHERM_00373830	XM_001009611.2	hypothetical protein
gene3169	7845103	NW_002476535.1	131936	132685	-	TTHERM_00373820	XM_001009610.2	gamma-interferon-inducible lysosomal thiol reductase
gene3170	7845104	NW_002476535.1	133825	136035	+	TTHERM_00373810	XM_001009609.3	EXS family protein
gene3171	7845105	NW_002476535.1	136821	140477	+	TTHERM_00373800	XM_001009608.1	transporter Avl9
gene3172	7845106	NW_002476535.1	141166	142936	-	TTHERM_00373790	XM_001009607.3	transmembrane protein, putative
gene3173	7845107	NW_002476535.1	144788	150797	+	TTHERM_00373780	XM_001009606.3	ATPase, histidine kinase-, DNA gyrase B
gene3174	7845108	NW_002476535.1	151904	152323	-	TTHERM_00373770	XM_001009605.3	transmembrane protein, putative
gene3175	7845109	NW_002476535.1	156917	157998	+	TTHERM_00373760	XM_001009604.1	tRNA(his) guanylyltransferase, putative
gene3176	24438648	NW_002476535.1	159580	159990	+	TTHERM_000373729	XM_012795990.1	transmembrane protein, putative
gene3177	7845111	NW_002476535.1	163168	163866	-	TTHERM_00373730	XM_001009602.1	transmembrane protein
gene3178	7845112	NW_002476535.1	164877	166118	-	TTHERM_00373720	XM_001009601.2	hypothetical protein
gene3179	7845113	NW_002476535.1	171974	175368	+	TTHERM_00373710	XM_001009600.2	hypothetical protein
gene3180	7845114	NW_002476535.1	177059	180669	+	TTHERM_00373700	XM_001009599.2	hypothetical protein
gene3181	7845115	NW_002476535.1	180926	182741	-	TTHERM_00372688	XM_001470682.2	hypothetical protein
gene3182	7845116	NW_002476535.1	183008	184632	-	TTHERM_00372689	XM_001470683.2	glycoside hydrolase family 76 protein
gene3183	7845118	NW_002476535.1	185054	193427	-	TTHERM_00372680	XM_001009596.2	transmembrane protein, putative
gene3184	7845120	NW_002476535.1	196601	205769	-	TTHERM_00372660	XM_001009594.2	transmembrane protein
gene3185	7845121	NW_002476535.1	205997	206443	-	TTHERM_00372640	XM_001009592.2	ABC transporter family protein
gene3186	7845122	NW_002476535.1	207266	210245	-	TTHERM_00372630	XM_001009591.2	transmembrane protein, putative
gene3187	24438646	NW_002476535.1	210778	211499	-	TTHERM_000372607	XM_012795991.1	hypothetical protein
gene3188	24438647	NW_002476535.1	212887	216399	-	TTHERM_000372608	XM_012795992.1	hypothetical protein
gene3189	7845123	NW_002476535.1	216704	221616	-	TTHERM_00372609	XM_001470684.2	ABC transporter C family protein
gene3190	24438643	NW_002476535.1	222444	229880	-	TTHERM_000372547	XM_012795993.1	transmembrane protein, putative
gene3191	24438644	NW_002476535.1	230403	230774	+	TTHERM_000372548	XM_012795994.1	hypothetical protein
gene3192	24438645	NW_002476535.1	233042	243340	-	TTHERM_000372549	XM_012795995.1	transmembrane protein, putative
gene3193	7845129	NW_002476535.1	244232	245095	+	TTHERM_00372550	XM_001009583.2	poly(ADP-ribose) polymerase domain protein
gene3194	7845130	NW_002476535.1	245855	247416	+	TTHERM_00372540	XM_001009582.2	transmembrane protein, putative
gene3195	24438641	NW_002476535.1	248126	250535	-	TTHERM_000372528	XM_012795996.1	ATPase, putative
gene3196	24438642	NW_002476535.1	251020	252671	-	TTHERM_000372529	XM_012795997.1	nucleoside diphosphate kinase
gene3197	7845131	NW_002476535.1	253281	257232	-	TTHERM_00372530	XM_001009581.3	V-ATPase A subunit 9-2 isotype of the V0 sector
gene3198	7845132	NW_002476535.1	258690	260924	-	TTHERM_00372520	XM_001009580.1	hypothetical protein
gene3199	7845133	NW_002476535.1	261751	263834	+	TTHERM_00372510	XM_001009579.2	hypothetical protein
gene3200	7845134	NW_002476535.1	264293	268142	+	TTHERM_00372500	XM_001009578.2	Pre-mRNA-splicing factor ATP-dependent RNA helicase
gene3201	7845135	NW_002476535.1	269247	270473	+	TTHERM_00372490	XM_001009577.3	hypothetical protein
